Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PlayerID
Luka Dončić,DAL,PG,24.0,70.0,70.0,37.48571428571429,11.485714285714286,23.6,0.487,4.057142857142857,10.628571428571428,0.382,7.428571428571429,12.971428571428572,0.573,6.828571428571428,8.685714285714285,0.786,0.8428571428571429,8.4,9.242857142857142,9.8,1.4142857142857144,0.5428571428571428,4.0285714285714285,2.128571428571429,33.857142857142854,43031940.0,100
Shai Gilgeous-Alexander,OKC,PG,25.0,75.0,75.0,34.04,10.613333333333332,19.826666666666668,0.535,1.2666666666666666,3.5866666666666664,0.353,9.346666666666666,16.24,0.576,7.56,8.653333333333334,0.874,0.8666666666666667,4.666666666666667,5.533333333333333,6.2,2.0,0.8933333333333333,2.16,2.453333333333333,30.05333333333333,35859950.0,101
Giannis Antetokounmpo,MIL,PF,29.0,73.0,73.0,35.16438356164384,11.465753424657532,18.753424657534246,0.611,0.4657534246575342,1.6986301369863013,0.274,11.0,17.054794520547944,0.645,7.041095890410959,10.712328767123289,0.657,2.684931506849315,8.835616438356164,11.52054794520548,6.52054794520548,1.1917808219178083,1.082191780821918,3.424657534246576,2.8767123287671232,30.438356164383563,48787676.0,102
Jalen Brunson,NYK,PG,27.0,77.0,77.0,35.4025974025974,10.25974025974026,21.4025974025974,0.479,2.74025974025974,6.831168831168832,0.401,7.51948051948052,14.571428571428571,0.516,5.467532467532467,6.454545454545454,0.847,0.5584415584415584,3.051948051948052,3.6103896103896105,6.740259740259741,0.9090909090909092,0.1688311688311688,2.415584415584416,1.87012987012987,28.727272727272727,24960001.0,103
Nikola Jokić,DEN,C,28.0,79.0,79.0,34.64556962025316,10.40506329113924,17.860759493670887,0.583,1.0506329113924051,2.9240506329113924,0.359,9.354430379746836,14.936708860759492,0.626,4.531645569620253,5.544303797468355,0.817,2.8227848101265822,9.531645569620252,12.354430379746836,8.962025316455696,1.3670886075949369,0.8607594936708861,3.0,2.4556962025316458,26.39240506329114,51415938.0,104
Anthony Edwards,MIN,SG,22.0,79.0,78.0,35.063291139240505,9.08860759493671,19.72151898734177,0.461,2.4050632911392404,6.734177215189874,0.357,6.6835443037974684,12.9873417721519,0.515,5.354430379746836,6.405063291139241,0.836,0.6582278481012658,4.784810126582278,5.443037974683544,5.1265822784810124,1.2784810126582278,0.5316455696202531,3.050632911392405,1.7848101265822784,25.93670886075949,42176400.0,105
Kevin Durant,PHO,PF,35.0,75.0,75.0,37.21333333333333,10.013333333333334,19.14666666666667,0.523,2.24,5.426666666666667,0.413,7.773333333333333,13.72,0.567,4.826666666666667,5.64,0.856,0.5466666666666666,6.053333333333334,6.6,5.04,0.92,1.2133333333333334,3.2533333333333334,1.7733333333333334,27.093333333333334,51179021.0,106
Jayson Tatum,BOS,PF,25.0,74.0,74.0,35.74324324324324,9.08108108108108,19.27027027027027,0.471,3.0945945945945947,8.22972972972973,0.376,5.986486486486487,11.04054054054054,0.542,5.594594594594595,6.716216216216216,0.833,0.9054054054054054,7.216216216216216,8.121621621621621,4.918918918918919,1.0135135135135136,0.581081081081081,2.5405405405405403,1.95945945945946,26.85135135135135,34848340.0,107
De'Aaron Fox,SAC,PG,26.0,74.0,74.0,35.932432432432435,9.72972972972973,20.93243243243243,0.465,2.891891891891892,7.837837837837838,0.369,6.837837837837838,13.094594594594597,0.522,4.216216216216216,5.716216216216216,0.738,0.9054054054054054,3.689189189189189,4.594594594594595,5.648648648648648,2.027027027027027,0.4189189189189189,2.621621621621621,2.608108108108108,26.56756756756757,34848340.0,108
Stephen Curry,GSW,PG,35.0,74.0,74.0,32.71621621621622,8.783783783783784,19.527027027027028,0.45,4.824324324324325,11.83783783783784,0.408,3.95945945945946,7.689189189189189,0.515,4.04054054054054,4.378378378378378,0.923,0.5,3.95945945945946,4.45945945945946,5.121621621621622,0.7297297297297297,0.3783783783783784,2.8378378378378377,1.5810810810810811,26.43243243243243,55761216.0,109
DeMar DeRozan,CHI,SF,34.0,79.0,79.0,37.83544303797469,8.227848101265822,17.151898734177216,0.48,0.9493670886075948,2.848101265822785,0.333,7.2784810126582276,14.30379746835443,0.509,6.6075949367088604,7.746835443037975,0.853,0.5443037974683544,3.759493670886076,4.30379746835443,5.329113924050633,1.139240506329114,0.569620253164557,1.7088607594936709,2.037974683544304,24.0126582278481,23400000.0,110
Anthony Davis,LAL,C,30.0,76.0,76.0,35.526315789473685,9.38157894736842,16.88157894736842,0.556,0.3815789473684211,1.4078947368421053,0.271,9.0,15.473684210526317,0.582,5.539473684210527,6.789473684210527,0.816,3.144736842105264,9.5,12.644736842105264,3.5,1.1973684210526316,2.3421052631578947,2.0921052631578947,2.3289473684210527,24.68421052631579,43219440.0,111
Devin Booker,PHO,PG,27.0,68.0,68.0,35.98529411764706,9.441176470588236,19.19117647058824,0.492,2.235294117647059,6.147058823529412,0.364,7.205882352941177,13.044117647058824,0.552,5.955882352941177,6.720588235294118,0.886,0.8235294117647058,3.7058823529411766,4.529411764705882,6.941176470588236,0.8970588235294118,0.4117647058823529,2.617647058823529,3.0294117647058822,27.073529411764707,49205800.0,112
LeBron James,LAL,PF,39.0,71.0,71.0,35.267605633802816,9.647887323943662,17.87323943661972,0.54,2.0985915492957745,5.112676056338028,0.41,7.549295774647887,12.76056338028169,0.592,4.267605633802817,5.690140845070423,0.75,0.8591549295774648,6.436619718309859,7.295774647887324,8.295774647887324,1.2535211267605637,0.5352112676056338,3.4507042253521125,1.0985915492957747,25.66197183098592,48728845.0,113
Tyrese Maxey,PHI,PG,23.0,70.0,70.0,37.51428571428571,9.114285714285714,20.27142857142857,0.45,3.0285714285714285,8.128571428571428,0.373,6.085714285714285,12.142857142857142,0.501,4.685714285714286,5.4,0.868,0.5142857142857142,3.171428571428572,3.6857142857142855,6.185714285714286,0.9857142857142858,0.4714285714285714,1.6571428571428573,2.157142857142857,25.942857142857143,35147000.0,114
Paolo Banchero,ORL,PF,21.0,80.0,80.0,34.9875,8.0,17.5875,0.455,1.4875,4.3875,0.339,6.5125,13.2,0.493,5.0625,6.9875,0.725,1.025,5.9,6.925,5.3875,0.8875,0.5875,3.0875,1.9125,22.55,12160800.0,115
Damian Lillard,MIL,PG,33.0,73.0,73.0,35.32876712328767,7.410958904109589,17.493150684931507,0.424,3.0136986301369864,8.520547945205479,0.354,4.397260273972603,8.972602739726028,0.49,6.47945205479452,7.041095890410959,0.92,0.4931506849315068,3.8904109589041096,4.383561643835616,6.958904109589041,0.9863013698630136,0.2465753424657534,2.643835616438356,1.8356164383561644,24.315068493150687,48787676.0,116
Dejounte Murray,ATL,SG,27.0,78.0,78.0,35.67948717948718,8.615384615384615,18.75641025641025,0.459,2.576923076923077,7.102564102564102,0.363,6.038461538461538,11.653846153846152,0.518,2.6666666666666665,3.358974358974359,0.794,0.7948717948717948,4.538461538461538,5.333333333333333,6.435897435897436,1.4230769230769231,0.3076923076923077,2.576923076923077,1.7692307692307692,22.47435897435897,25499599.0,117
Pascal Siakam,IND,PF,29.0,80.0,80.0,33.2125,8.5125,15.8875,0.536,1.0625,3.075,0.346,7.45,12.8125,0.581,3.625,4.95,0.732,1.7375,5.325,7.0625,4.275,0.7875,0.3125,1.7625,2.4125,21.7125,42176400.0,118
Paul George,LAC,PF,33.0,74.0,74.0,33.810810810810814,7.864864864864865,16.7027027027027,0.471,3.283783783783784,7.945945945945946,0.413,4.581081081081081,8.756756756756756,0.523,3.5675675675675675,3.932432432432433,0.907,0.5,4.743243243243243,5.243243243243243,3.5405405405405403,1.527027027027027,0.5,2.0675675675675675,2.72972972972973,22.58108108108108,49205800.0,119
Kawhi Leonard,LAC,SF,32.0,68.0,68.0,34.26470588235294,8.970588235294118,17.08823529411765,0.525,2.0588235294117645,4.941176470588236,0.417,6.911764705882353,12.147058823529411,0.569,3.7205882352941178,4.205882352941177,0.885,1.2352941176470589,4.882352941176471,6.117647058823529,3.588235294117647,1.6323529411764706,0.8676470588235294,1.75,1.4264705882352942,23.72058823529412,49205800.0,120
Jaylen Brown,BOS,SF,27.0,70.0,70.0,33.47142857142857,8.957142857142857,17.942857142857143,0.499,2.071428571428572,5.857142857142857,0.354,6.885714285714286,12.085714285714284,0.57,3.0142857142857142,4.285714285714286,0.703,1.2,4.328571428571428,5.5285714285714285,3.557142857142857,1.1857142857142855,0.5285714285714286,2.3714285714285714,2.642857142857143,23.0,49700000.0,121
Jalen Green,HOU,SG,21.0,82.0,82.0,31.71951219512195,6.865853658536586,16.24390243902439,0.423,2.451219512195122,7.378048780487805,0.332,4.414634146341464,8.865853658536585,0.498,3.451219512195122,4.2926829268292686,0.804,0.5,4.658536585365853,5.158536585365853,3.548780487804878,0.8048780487804879,0.3414634146341463,2.3292682926829267,1.4024390243902438,19.634146341463413,12483048.0,122
Mikal Bridges,BRK,SF,27.0,82.0,82.0,34.80487804878049,6.878048780487805,15.78048780487805,0.436,2.682926829268293,7.219512195121951,0.372,4.195121951219512,8.560975609756097,0.49,3.1463414634146343,3.865853658536585,0.814,0.8292682926829268,3.707317073170732,4.536585365853658,3.6463414634146334,0.9878048780487804,0.3658536585365853,2.0,1.4146341463414631,19.585365853658537,23300000.0,123
Zion Williamson,NOP,PF,23.0,70.0,70.0,31.52857142857143,8.914285714285715,15.628571428571428,0.57,0.0857142857142857,0.2571428571428571,0.333,8.82857142857143,15.371428571428572,0.574,4.957142857142857,7.057142857142857,0.702,1.7428571428571429,4.057142857142857,5.8,5.0285714285714285,1.1,0.6714285714285714,2.757142857142857,2.271428571428572,22.87142857142857,36725670.0,124
Domantas Sabonis,SAC,C,27.0,82.0,82.0,35.707317073170735,7.73170731707317,13.024390243902438,0.594,0.4024390243902439,1.0609756097560976,0.379,7.329268292682927,11.96341463414634,0.613,3.5609756097560976,5.060975609756097,0.704,3.5853658536585367,10.073170731707316,13.658536585365852,8.207317073170731,0.902439024390244,0.5853658536585366,3.317073170731707,3.048780487804878,19.42682926829268,40500000.0,125
Kyle Kuzma,WAS,PF,28.0,70.0,70.0,32.58571428571429,8.685714285714285,18.757142857142856,0.463,2.157142857142857,6.428571428571429,0.336,6.5285714285714285,12.32857142857143,0.53,2.657142857142857,3.4285714285714284,0.775,0.8857142857142857,5.742857142857143,6.628571428571429,4.228571428571429,0.5285714285714286,0.7,2.742857142857143,2.185714285714285,22.185714285714287,23522727.0,126
